classid,description,subclassid,description,invoiceitemid,description,invoicedescription,itemtype,description,quantityfrom,quanitytunitprice,dispensingfee,minimumprice,name1,status,revenue_id,allow_price_chg,nbr_disp
,,,,422,Dispensing Fee,,D,[None],0,0,0,0,River Valley Veterinary Wellness Clinic,1,,4,0
,,,,4492,Ear Medication Administration,,D,[None],0,0,0,0,River Valley Veterinary Wellness Clinic,1,,4,0
,,,,640,Injection fee ,,D,[None],0,0,0,0,River Valley Veterinary Wellness Clinic,1,,4,0
,,,,641,Injection Fee IM/SQ,,D,[None],0,0,0,0,River Valley Veterinary Wellness Clinic,1,,4,0
,,,,645,Injection into IV line,,D,[None],0,0,0,0,River Valley Veterinary Wellness Clinic,1,,4,0
ANE,ANESTHESIA - SMALL,,,1564,Alcaine in hospital treatement,,I,[None],0,10.99,0,0,River Valley Veterinary Wellness Clinic,0,,4,0
ANE,ANESTHESIA - SMALL,,,144041,Alfaxan Multidose 10mg/ml - 20ml,Alfaxan 10 mg/ml,I,bottle,0,200.99,0,100.400000,River Valley Veterinary Wellness Clinic,1,H,4,0
ANE,ANESTHESIA - SMALL,,,5020,Anesthesia - Isoflurane per 15 minutes,,S,[None],0,138.99,0,0,River Valley Veterinary Wellness Clinic,1,,4,0
ANE,ANESTHESIA - SMALL,,,2919,Anesthesia - Topical Ophthalmic Freezing,,S,[None],0,35.99,0,0,River Valley Veterinary Wellness Clinic,1,,4,0
ANE,ANESTHESIA - SMALL,,,ANESEL,Anesthesia & Monitoring (Elective),,S,[None],0,0,0,0,River Valley Veterinary Wellness Clinic,1,,4,0
ANE,ANESTHESIA - SMALL,,,5025,Anesthesia (Local) ,,S,[None],0,84.99,0,0,River Valley Veterinary Wellness Clinic,1,,4,0
ANE,ANESTHESIA - SMALL,,,2879,Anesthesia Induction Fee,,S,[None],0,250.99,0,0,River Valley Veterinary Wellness Clinic,1,,4,0
ANE,ANESTHESIA - SMALL,,,795,Anesthesia Topical,,S,[None],0,35.99,0,0,River Valley Veterinary Wellness Clinic,1,,4,0
ANE,ANESTHESIA - SMALL,,,136045,Bupivicaine 0.5% Sterimax 20 mL,Bupivicaine 0.5% Sterimax 20 mL,I,ml,0,0.60,0,0,River Valley Veterinary Wellness Clinic,1,,4,0
ANE,ANESTHESIA - SMALL,,,2274,Dental Local Block (per quadrant),,S,[None],0,86.99,0,0,River Valley Veterinary Wellness Clinic,1,,4,0
ANE,ANESTHESIA - SMALL,,,141604,Dexmedesed inj per ml,Dexmedesed inj per ml,I,ml,0,0,0,0,River Valley Veterinary Wellness Clinic,1,H,4,0
ANE,ANESTHESIA - SMALL,,,137519,Dexvetidine 0.5 mg/ml,Dexvetidine 0.5 mg/ml,I,ml,0,0,0,0,River Valley Veterinary Wellness Clinic,1,,4,0
ANE,ANESTHESIA - SMALL,,,649,Diazepam 5mg/ml Inj PRE MED,,I,ml,0,0,0,0,River Valley Veterinary Wellness Clinic,1,,4,0
ANE,ANESTHESIA - SMALL,,,58,DORMITOR/ANTISEDAN,,S,[None],0,97.99,0,0,River Valley Veterinary Wellness Clinic,1,,4,0
ANE,ANESTHESIA - SMALL,,,4628,E-Collar Flexy Small 5.5" 5pk,E-Collar Flex Small,I,each,0,12.99,0,8.570000,River Valley Veterinary Wellness Clinic,1,,4,0
ANE,ANESTHESIA - SMALL,,,15928,Endo Tube Portex CLR PVC Cuffed - 9.00 ,,I,each,0,3.99,0,3.740000,River Valley Veterinary Wellness Clinic,0,,4,0
