invid,classid,description,description,qty,tot,subclassid,name1,desc,i_desc,firsttransaction,sequence,txn_date
PAW,10,Pet Accessories,,1,195.00,,Tudor Glen Veterinary Hospital,Pear Tree Paw Print Standard Color,,1406169,15,3/31/2025 18:16:31:852
PAW,10,Pet Accessories,,2,390.00,,Tudor Glen Veterinary Hospital,Pear Tree Paw Print Standard Color,,1413429,15,4/30/2025 18:37:16:465
PAW,10,Pet Accessories,,3,585.00,,Tudor Glen Veterinary Hospital,Pear Tree Paw Print Standard Color,,1456759,15,10/31/2025 18:15:33:419
PAW,10,Pet Accessories,,2,390.00,,Tudor Glen Veterinary Hospital,Pear Tree Paw Print Standard Color,,1485086,15,2/28/2026 19:09:20:447
PAW,10,Pet Accessories,,2,390.00,,Tudor Glen Veterinary Hospital,Pear Tree Paw Print Standard Color,,1471068,15,12/31/2025 18:16:10:824
PAW,10,Pet Accessories,,4,780.00,,Tudor Glen Veterinary Hospital,Pear Tree Paw Print Standard Color,,1442263,15,8/30/2025 17:35:05:993
PAW,10,Pet Accessories,,3,585.00,,Tudor Glen Veterinary Hospital,Pear Tree Paw Print Standard Color,,1435299,15,7/31/2025 18:27:44:508
PAW,10,Pet Accessories,,3,585.00,,Tudor Glen Veterinary Hospital,Pear Tree Paw Print Standard Color,,1464415,15,11/29/2025 18:45:33:008
PAW,10,Pet Accessories,,1,195.00,,Tudor Glen Veterinary Hospital,Pear Tree Paw Print Standard Color,,1427983,15,6/30/2025 18:30:05:565
PAW,10,Pet Accessories,,4,780.00,,Tudor Glen Veterinary Hospital,Pear Tree Paw Print Standard Color,,1477746,15,1/31/2026 19:14:15:897
PAW,10,Pet Accessories,,3,585.00,,Tudor Glen Veterinary Hospital,Pear Tree Paw Print Standard Color,,1420600,15,5/31/2025 18:04:44:559
PAW,10,Pet Accessories,,8,1560.00,,Tudor Glen Veterinary Hospital,Pear Tree Paw Print Standard Color,,1449426,15,9/30/2025 18:33:25:34
IATS1,3,Dispensables,,1,497.90,,Tudor Glen Veterinary Hospital,"Allergy Tx, Single Vx SC -Inital (Idexx)",Allergy Treatment -Single Vaccine Inital,1435299,9,7/31/2025 18:27:44:508
395,CHARITY,Charity ,,37,555.00,,Tudor Glen Veterinary Hospital,Santa Photo Session,,1471068,15,12/31/2025 18:16:10:824
2824,DENTAL,Dental,,2,1971.60,,Tudor Glen Veterinary Hospital,Oral Surgery (per hour),Oral Surgery (per hour),1471068,7,12/31/2025 18:16:10:824
2824,DENTAL,Dental,,1.6,1577.28,,Tudor Glen Veterinary Hospital,Oral Surgery (per hour),Oral Surgery (per hour),1456759,7,10/31/2025 18:15:33:419
2824,DENTAL,Dental,,2.5,2464.50,,Tudor Glen Veterinary Hospital,Oral Surgery (per hour),Oral Surgery (per hour),1464415,7,11/29/2025 18:45:33:008
2824,DENTAL,Dental,,1.75,1725.15,,Tudor Glen Veterinary Hospital,Oral Surgery (per hour),Oral Surgery (per hour),1435299,7,7/31/2025 18:27:44:508
2824,DENTAL,Dental,,1.5,1478.70,,Tudor Glen Veterinary Hospital,Oral Surgery (per hour),Oral Surgery (per hour),1413429,7,4/30/2025 18:37:16:465
2824,DENTAL,Dental,,3.75,3696.75,,Tudor Glen Veterinary Hospital,Oral Surgery (per hour),Oral Surgery (per hour),1406169,7,3/31/2025 18:16:31:852
2824,DENTAL,Dental,,3.25,3203.85,,Tudor Glen Veterinary Hospital,Oral Surgery (per hour),Oral Surgery (per hour),1442263,7,8/30/2025 17:35:05:993
2824,DENTAL,Dental,,2.75,2710.95,,Tudor Glen Veterinary Hospital,Oral Surgery (per hour),Oral Surgery (per hour),1477746,7,1/31/2026 19:14:15:897
2824,DENTAL,Dental,,4.5,4436.10,,Tudor Glen Veterinary Hospital,Oral Surgery (per hour),Oral Surgery (per hour),1420600,7,5/31/2025 18:04:44:559
2824,DENTAL,Dental,,0.75,739.35,,Tudor Glen Veterinary Hospital,Oral Surgery (per hour),Oral Surgery (per hour),1427983,7,6/30/2025 18:30:05:565
2824,DENTAL,Dental,,5.25,5175.45,,Tudor Glen Veterinary Hospital,Oral Surgery (per hour),Oral Surgery (per hour),1485086,7,2/28/2026 19:09:20:447
RADSDE1,DENTAL,Dental,,1,85.70,,Tudor Glen Veterinary Hospital,Radiographs Dental,Radiographs Dental,1435299,9,7/31/2025 18:27:44:508
RADSDE1,DENTAL,Dental,,2,171.40,,Tudor Glen Veterinary Hospital,Radiographs Dental,Radiographs Dental,1413429,9,4/30/2025 18:37:16:465
RADSDE1,DENTAL,Dental,,1,85.70,,Tudor Glen Veterinary Hospital,Radiographs Dental,Radiographs Dental,1456759,9,10/31/2025 18:15:33:419
RADSDE1,DENTAL,Dental,,1,85.70,,Tudor Glen Veterinary Hospital,Radiographs Dental,Radiographs Dental,1485086,9,2/28/2026 19:09:20:447
RADSDE1,DENTAL,Dental,,1,85.70,,Tudor Glen Veterinary Hospital,Radiographs Dental,Radiographs Dental,1442263,9,8/30/2025 17:35:05:993
RADSDE1,DENTAL,Dental,,1,85.70,,Tudor Glen Veterinary Hospital,Radiographs Dental,Radiographs Dental,1471068,9,12/31/2025 18:16:10:824
RADSDE1,DENTAL,Dental,,1,85.70,,Tudor Glen Veterinary Hospital,Radiographs Dental,Radiographs Dental,1406169,9,3/31/2025 18:16:31:852
RADSDE2,DENTAL,Dental,,1,47.20,,Tudor Glen Veterinary Hospital,Radiographs Dental Additional,Radiographs Dental Additional,1413429,9,4/30/2025 18:37:16:465
RADSDE2,DENTAL,Dental,,1,47.20,,Tudor Glen Veterinary Hospital,Radiographs Dental Additional,Radiographs Dental Additional,1485086,9,2/28/2026 19:09:20:447
RADSDE3,DENTAL,Dental,,22,5640.80,,Tudor Glen Veterinary Hospital,Radiograph Dental Full Mouth,,1471068,5,12/31/2025 18:16:10:824
RADSDE3,DENTAL,Dental,,16,4102.40,,Tudor Glen Veterinary Hospital,Radiograph Dental Full Mouth,,1464415,5,11/29/2025 18:45:33:008
RADSDE3,DENTAL,Dental,,23,5897.20,,Tudor Glen Veterinary Hospital,Radiograph Dental Full Mouth,,1477746,5,1/31/2026 19:14:15:897
RADSDE3,DENTAL,Dental,,18,4615.20,,Tudor Glen Veterinary Hospital,Radiograph Dental Full Mouth,,1435299,5,7/31/2025 18:27:44:508
RADSDE3,DENTAL,Dental,,14,3589.60,,Tudor Glen Veterinary Hospital,Radiograph Dental Full Mouth,,1456759,5,10/31/2025 18:15:33:419
RADSDE3,DENTAL,Dental,,18,4615.20,,Tudor Glen Veterinary Hospital,Radiograph Dental Full Mouth,,1420600,5,5/31/2025 18:04:44:559
RADSDE3,DENTAL,Dental,,20,5128.00,,Tudor Glen Veterinary Hospital,Radiograph Dental Full Mouth,,1413429,5,4/30/2025 18:37:16:465
RADSDE3,DENTAL,Dental,,17,4358.80,,Tudor Glen Veterinary Hospital,Radiograph Dental Full Mouth,,1427983,5,6/30/2025 18:30:05:565
